_id,timestamp,device_id,esm_json,esm_status,esm_expiration_threshold,esm_notification_timeout,double_esm_user_answer_timestamp,esm_user_answer,esm_trigger
12,1749700001000.0,dev-123,"{""esm_submit"":""Submit"",""esm_title"":""What’s one thing you’d like to do differently today?"",""esm_type"":1,""id"":2,""esm_trigger"":""Morning reflection and goal setting"",""esm_keep"":""false""}",2,0,0,1749700110000.0,"Avoid using phone after lunch",Morning reflection and goal setting
13,1749700002000.0,dev-123,"{""esm_submit"":""Submit"",""esm_title"":""What is your main focus for today?"",""esm_type"":3,""id"":3,""esm_trigger"":""Morning reflection and goal setting"",""esm_keep"":""false""}",2,0,0,1749700120000.0,"[""Reduce smartphone usage""]",Morning reflection and goal setting
14,1749700003000.0,dev-123,"{""esm_submit"":""Submit"",""esm_title"":""What is one specific goal you want to commit to today?"",""esm_type"":1,""id"":4,""esm_trigger"":""Morning reflection and goal setting"",""esm_keep"":""false""}",2,0,0,1749700130000.0,"No Instagram before 6 PM",Morning reflection and goal setting

15,1749705000000.0,dev-123,"{""esm_submit"":""Submit"",""esm_title"":""Do you feel you’re staying on track with your goal?"",""esm_type"":2,""id"":5,""esm_trigger"":""Hourly check in"",""esm_keep"":""false""}",2,0,0,1749705100000.0,No,Hourly check in
16,1749705001000.0,dev-123,"{""esm_submit"":""Submit"",""esm_title"":""How satisfied are you with your progress so far?"",""esm_type"":4,""id"":6,""esm_trigger"":""Hourly check in"",""esm_keep"":""false""}",2,0,0,1749705110000.0,2,Hourly check in
17,1749705002000.0,dev-123,"{""esm_submit"":""Submit"",""esm_title"":""Have you noticed anything making it easier or harder to stick to your goal?"",""esm_type"":1,""id"":7,""esm_trigger"":""Hourly check in"",""esm_keep"":""false""}",2,0,0,1749705120000.0,"Kept getting distracted",Hourly check in

18,1749715000000.0,dev-123,"{""esm_submit"":""Submit"",""esm_title"":""How successful were you in sticking to your goal today?"",""esm_type"":4,""id"":8,""esm_trigger"":""End of the day report"",""esm_keep"":""false""}",2,0,0,1749715100000.0,2,End of the day report
19,1749715001000.0,dev-123,"{""esm_submit"":""Submit"",""esm_title"":""How happy are you with your progress today?"",""esm_type"":4,""id"":9,""esm_trigger"":""End of the day report"",""esm_keep"":""false""}",2,0,0,1749715110000.0,2,End of the day report
20,1749715002000.0,dev-123,"{""esm_submit"":""Submit"",""esm_title"":""What helped you sticking to your goal? What didn’t help?"",""esm_type"":1,""id"":10,""esm_trigger"":""End of the day report"",""esm_keep"":""false""}",2,0,0,1749715120000.0,"Hard to focus today, used phone too much",End of the day report
